Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2025-04-01 17:00:00+00:00,85100.13,85294.11,84897.85,85145.95,0.08662,2025-04-01 17:59:59.999000+00:00,7367.1943569,50,0.06572,5590.741517
2025-04-01 18:00:00+00:00,84997.98,85155.12,84740.17,85110.79,0.13542,2025-04-01 18:59:59.999000+00:00,11491.1014073,63,0.04801,4074.2742509
2025-04-01 19:00:00+00:00,85149.58,85252.96,84904.35,85000.0,5.87038,2025-04-01 19:59:59.999000+00:00,499539.0879962,439,5.12991,436522.659948
2025-04-01 20:00:00+00:00,85026.84,85355.07,84926.01,85233.77,0.10391,2025-04-01 20:59:59.999000+00:00,8846.8654319,36,0.05728,4877.9029143
2025-04-01 21:00:00+00:00,85329.76,85517.76,85144.07,85324.08,0.24737,2025-04-01 21:59:59.999000+00:00,21113.8779446,53,0.17416,14872.3785085
2025-04-01 22:00:00+00:00,85253.09,85420.36,85232.0,85232.0,0.0216,2025-04-01 22:59:59.999000+00:00,1842.112182,28,0.00546,466.0454099
2025-04-01 23:00:00+00:00,85167.69,85505.0,84966.03,85190.39,0.81324,2025-04-01 23:59:59.999000+00:00,69132.5720272,63,0.03025,2582.9795478
2025-04-02 00:00:00+00:00,85211.47,85265.95,84997.98,84997.98,0.07771,2025-04-02 00:59:59.999000+00:00,6617.8418786,55,0.06867,5848.7611461
2025-04-02 01:00:00+00:00,84997.98,85200.0,84877.89,85065.65,0.33594,2025-04-02 01:59:59.999000+00:00,28576.3290003,41,0.18158,15455.4429469
2025-04-02 02:00:00+00:00,85085.91,85125.37,84640.81,84764.65,0.27533,2025-04-02 02:59:59.999000+00:00,23314.4749707,54,0.01219,1033.7940333
2025-04-02 03:00:00+00:00,84679.04,84926.02,84524.04,84588.56,0.30894,2025-04-02 03:59:59.999000+00:00,26129.2851409,34,0.15383,13014.7064457
2025-04-02 04:00:00+00:00,84601.01,84716.89,84502.23,84593.42,0.04761,2025-04-02 04:59:59.999000+00:00,4030.2678718,30,0.0469,3970.1847892
2025-04-02 05:00:00+00:00,84535.55,84535.55,84155.29,84155.29,0.11353,2025-04-02 05:59:59.999000+00:00,9575.5978594,66,0.02549,2152.4541789
2025-04-02 06:00:00+00:00,84121.6,84303.43,83888.39,84109.97,0.58857,2025-04-02 06:59:59.999000+00:00,49494.3418457,71,0.5081,42731.0016818
2025-04-02 07:00:00+00:00,84093.14,84476.63,84014.54,84255.82,0.03269,2025-04-02 07:59:59.999000+00:00,2752.5999577,30,0.02443,2057.739814
2025-04-02 08:00:00+00:00,84441.3,84704.46,84245.99,84573.6,0.2532,2025-04-02 08:59:59.999000+00:00,21369.8268815,24,0.25148,21224.5598633
2025-04-02 09:00:00+00:00,84690.11,85400.97,84690.11,85056.12,0.16199,2025-04-02 09:59:59.999000+00:00,13788.5485824,94,0.12679,10796.0670533
2025-04-02 10:00:00+00:00,85032.65,85253.0,84846.0,84899.57,0.06603,2025-04-02 10:59:59.999000+00:00,5617.3771259,22,0.00166,141.1578583
2025-04-02 11:00:00+00:00,84845.99,84978.39,84570.85,84570.85,0.02321,2025-04-02 11:59:59.999000+00:00,1967.2927916,62,0.00752,637.4487688
2025-04-02 12:00:00+00:00,84623.01,85021.17,84492.82,84977.31,0.43297,2025-04-02 12:59:59.999000+00:00,36797.2487667,42,0.4297,36519.9945085
2025-04-02 13:00:00+00:00,85006.08,86000.0,84517.63,85280.25,1.11277,2025-04-02 13:59:59.999000+00:00,94684.501898,262,0.26408,22604.9083423
2025-04-02 14:00:00+00:00,85253.0,85867.2,85229.22,85829.16,0.03762,2025-04-02 14:59:59.999000+00:00,3219.662583,61,0.02662,2279.3597393
2025-04-02 15:00:00+00:00,85842.81,87223.04,85842.81,86708.66,3.46061,2025-04-02 15:59:59.999000+00:00,299507.8137748,416,2.36183,204327.7323544
2025-04-02 16:00:00+00:00,86780.29,87158.49,86572.07,87000.02,0.18891,2025-04-02 16:59:59.999000+00:00,16437.00208,56,0.15046,13094.4511473
2025-04-02 17:00:00+00:00,87004.95,87258.91,86361.95,86651.78,0.36127,2025-04-02 17:59:59.999000+00:00,31439.9510203,91,0.22847,19902.5796446
2025-04-02 18:00:00+00:00,86662.67,86691.06,86250.1,86409.91,0.74333,2025-04-02 18:59:59.999000+00:00,64194.5186379,96,0.68985,59564.39668
2025-04-02 19:00:00+00:00,86414.82,86840.4,86227.56,86840.0,1.08901,2025-04-02 19:59:59.999000+00:00,94209.0301192,81,1.05731,91471.2581562
2025-04-02 20:00:00+00:00,86729.52,88369.07,85262.06,85677.9,3.58656,2025-04-02 20:59:59.999000+00:00,312204.9628284,712,1.69271,148158.933783
2025-04-02 21:00:00+00:00,85508.79,85508.79,84264.59,84907.05,0.93168,2025-04-02 21:59:59.999000+00:00,78926.9302993,242,0.31188,26374.6978966
2025-04-02 22:00:00+00:00,84504.8,84513.57,82728.24,82921.88,2.46647,2025-04-02 22:59:59.999000+00:00,205521.8096566,457,1.06409,88444.2623594
2025-04-02 23:00:00+00:00,82736.84,82809.94,82378.04,82632.01,0.86742,2025-04-02 23:59:59.999000+00:00,71654.5235503,113,0.10233,8453.3421654
2025-04-03 00:00:00+00:00,82532.0,83442.55,82306.55,83241.55,2.88424,2025-04-03 00:59:59.999000+00:00,239704.8435021,183,2.40798,200313.2933378
2025-04-03 01:00:00+00:00,83366.09,83963.32,83228.94,83789.2,1.08953,2025-04-03 01:59:59.999000+00:00,91045.0520429,132,0.87501,73058.9065599
2025-04-03 02:00:00+00:00,83912.34,83938.0,83443.29,83747.96,0.35533,2025-04-03 02:59:59.999000+00:00,29681.6124526,41,0.02353,1966.912462
2025-04-03 03:00:00+00:00,83742.12,83742.12,83435.77,83561.24,0.23647,2025-04-03 03:59:59.999000+00:00,19765.6071324,22,0.08813,7378.7944664
2025-04-03 04:00:00+00:00,83561.07,83777.72,83338.38,83607.85,4.0777,2025-04-03 04:59:59.999000+00:00,340459.4998669,133,3.71585,310271.5268871
2025-04-03 05:00:00+00:00,83567.38,83737.63,83400.89,83400.89,0.03102,2025-04-03 05:59:59.999000+00:00,2592.4166772,26,0.00729,609.9797993
2025-04-03 06:00:00+00:00,83387.64,83460.1,83108.48,83196.73,0.09255,2025-04-03 06:59:59.999000+00:00,7703.8470967,34,0.01704,1419.6810701
2025-04-03 07:00:00+00:00,83045.25,83447.36,83037.8,83271.09,0.03693,2025-04-03 07:59:59.999000+00:00,3075.7378688,26,0.00214,178.3529639
2025-04-03 08:00:00+00:00,83483.79,83719.67,83483.79,83719.67,0.0413,2025-04-03 08:59:59.999000+00:00,3454.0338291,26,0.04029,3369.6306722
2025-04-03 09:00:00+00:00,83727.86,83764.49,83595.83,83595.83,0.02034,2025-04-03 09:59:59.999000+00:00,1701.6313204,13,0.00367,307.3121599
2025-04-03 10:00:00+00:00,83566.38,83741.86,83179.45,83230.41,0.4589,2025-04-03 10:59:59.999000+00:00,38212.3142906,42,0.22661,18856.3934986
2025-04-03 11:00:00+00:00,83178.83,83317.5,83066.79,83087.21,1.01268,2025-04-03 11:59:59.999000+00:00,84202.6579121,26,0.03074,2556.8654038
2025-04-03 12:00:00+00:00,83045.25,83084.02,81909.21,82057.39,0.67938,2025-04-03 12:59:59.999000+00:00,55927.0869681,183,0.09138,7519.0901283
2025-04-03 13:00:00+00:00,81909.21,82813.51,81845.35,82500.0,0.57356,2025-04-03 13:59:59.999000+00:00,47163.6505598,123,0.09143,7523.8052282
2025-04-03 14:00:00+00:00,82260.1,82439.75,81368.88,81607.88,1.25811,2025-04-03 14:59:59.999000+00:00,102664.4699542,197,0.19513,15948.5230558
2025-04-03 15:00:00+00:00,81547.22,81996.57,81287.95,81991.0,0.34782,2025-04-03 15:59:59.999000+00:00,28412.2961758,76,0.04142,3384.8150175
2025-04-03 16:00:00+00:00,82113.8,82354.11,81854.67,81854.67,1.13859,2025-04-03 16:59:59.999000+00:00,93572.7311936,84,0.4865,39950.429415
2025-04-03 17:00:00+00:00,81884.84,82117.84,81692.0,81998.55,0.30615,2025-04-03 17:59:59.999000+00:00,25060.6678074,39,0.25661,21005.0125469
2025-04-03 18:00:00+00:00,81903.76,82328.13,81576.7,82166.71,0.33981,2025-04-03 18:59:59.999000+00:00,27883.4299215,64,0.24675,20255.0578047
2025-04-03 19:00:00+00:00,82158.38,82327.88,81906.47,81931.26,0.08877,2025-04-03 19:59:59.999000+00:00,7293.3096484,37,0.0366,3007.8132275
